Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200,EMA_50,EMA_200,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR,ADX
1980-12-12 00:00:00-05:00,0.09872593730688095,0.09915515669143314,0.09872593730688095,0.09872593730688095,469033600,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-15 00:00:00-05:00,0.0940045329291232,0.0940045329291232,0.09357531368732452,0.09357531368732452,175884800,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-16 00:00:00-05:00,0.08713632135240351,0.08713632135240351,0.08670710772275925,0.08670710772275925,105728000,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-17 00:00:00-05:00,0.08885318785905838,0.08928240722226835,0.08885318785905838,0.08885318785905838,86441600,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-18 00:00:00-05:00,0.09142923355102539,0.09185844705654139,0.09142923355102539,0.09142923355102539,73449600,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-19 00:00:00-05:00,0.09700905531644821,0.09743827463058725,0.09700905531644821,0.09700905531644821,48630400,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-22 00:00:00-05:00,0.10173045098781587,0.10216043828512755,0.10173045098781587,0.10173045098781586,37363200,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-23 00:00:00-05:00,0.10602342337369919,0.10645264289759661,0.10602342337369919,0.10602342337369919,46950400,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-24 00:00:00-05:00,0.11160316318273544,0.11203238240043643,0.11160316318273544,0.11160316318273544,48003200,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-26 00:00:00-05:00,0.12190521508455276,0.12233443462439131,0.12190521508455276,0.12190521508455276,55574400,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-29 00:00:00-05:00,0.12362198531627656,0.12405120452118376,0.12362198531627656,0.12362198531627655,93161600,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-30 00:00:00-05:00,0.12104669432466532,0.12104669432466532,0.12061748653650284,0.12061748653650284,68880000,0.0,0.0,,,,,,,,,,,,0.0,0.0
1980-12-31 00:00:00-05:00,0.11761300898616288,0.11761300898616288,0.11718378961086273,0.11718378961086273,35750400,0.0,0.0,,,,,,,,,,,,0.0,0.0
1981-01-02 00:00:00-05:00,0.11847140640020369,0.11932984493433463,0.11847140640020369,0.1184714064002037,21660800,0.0,0.0,,,,,69.70876695528852,,,,,,,0.0043844067541141275,0.0
1981-01-05 00:00:00-05:00,0.11632536588906306,0.11632536588906306,0.11589615792036057,0.11589615792036057,35728000,0.0,0.0,,,,,64.73557140458212,,,,,,,0.0042551811630947714,0.0
